Designator,Mid X,Mid Y,Rotation,Layer
C1,87.3725,-82.301,270.0,top
C2,87.3825,-88.886,90.0,top
C3,87.3925,-91.911,270.0,top
C4,79.5325,-98.246,90.0,top
C5,77.0825,-102.301,180.0,top
C6,87.3625,-85.741,90.0,top
C7,71.9385,-84.0535,0.0,top
C8,83.7325,-77.3935,0.0,top
C9,83.7325,-75.6895,0.0,top
J1,91.6625,-85.801,90.0,bottom
J2,90.5125,-61.83,0.0,bottom
J3,69.5125,-61.83,0.0,bottom
J4,75.0125,-72.98,0.0,bottom
PSW1,69.6625,-94.98,90.0,bottom
R1,72.7485,-81.5235,270.0,top
SW5,73.1625,-109.979999,90.0,top
SW6,86.1625,-109.979999,90.0,top
U1,77.0625,-99.491,90.0,top
U2,80.0125,-86.425,180.0,bottom
